"","x","y"
"spot_1",421.9,-1794.6
"spot_2",1017.795,-1737.35
"spot_3",1402.21454545455,-1793.50909090909
"spot_4",1916.314,-1725.06
"spot_5",2444.94142857143,-1774.85714285714
"spot_6",3025.54,-1737.5
"spot_7",3493.52,-1737.75
"spot_8",3921.93666666667,-1765.53333333333
"spot_9",4417.906,-1755
"spot_10",5026.8275,-1740.7
"spot_11",5492.75,-1809.92
"spot_12",5939.62,-1685.5
"spot_13",6383.01571428571,-1770.17142857143
"spot_14",423.675,-1321.075
"spot_15",992.434545454545,-1372.9
"spot_16",1445.8875,-1311.475
"spot_17",1867.05888888889,-1390.21111111111
"spot_18",2459.94857142857,-1345.87857142857
"spot_19",2887.99666666667,-1387.84166666667
"spot_20",3368.00285714286,-1513.4
"spot_21",3920.06285714286,-1319.11428571429
"spot_22",4404.15,-1341.5
"spot_23",4880.44,-1334.80909090909
"spot_24",5488.54222222222,-1326.85555555556
"spot_25",5908.81444444444,-1382.22222222222
"spot_26",6410.8775,-1382.48333333333
"spot_27",6790.94,-1349.25
"spot_28",449.64,-854.158
"spot_29",931.716666666667,-793.451111111111
"spot_30",1390.78909090909,-772.827272727273
"spot_31",1963.67833333333,-915.438333333333
"spot_32",2383.03666666667,-956.27
"spot_33",2924.70666666667,-851.283333333333
"spot_34",3405.0625,-887.4975
"spot_35",3935.96285714286,-842.334285714286
"spot_36",4396.02375,-872.01125
"spot_37",4937.78777777778,-839.423333333333
"spot_38",5401.81555555556,-897.107777777778
"spot_39",5886.295,-916.98375
"spot_40",6359.01428571429,-851.827857142857
"spot_41",6782.19125,-874.535
"spot_42",456.38,-358.078
"spot_43",939.343846153846,-380.171538461538
"spot_44",1399.57733333333,-367.744666666667
"spot_45",1815.782,-412.916
"spot_46",2445.30076923077,-402.514615384615
"spot_47",2898.14833333333,-438.06
"spot_48",3627.92,-479.01
"spot_49",3891.14,-408.468
"spot_50",4426.28125,-403.6425
"spot_51",4922.918,-482.164
"spot_52",5444.03142857143,-468.418571428571
"spot_53",5930.995,-441.8125
"spot_54",6357.306,-346.804666666667
"spot_55",6756.3275,-249.985
"spot_56",7235.2,-270.88
"spot_57",802.4,-103.12
"spot_58",6037.67,225.495
"spot_59",6409.10333333333,136.353333333333
"spot_60",6924.75615384615,161.596923076923
"spot_61",7321.323,132.32
"spot_62",6083.67,734.665
"spot_63",6449.55461538462,726.226153846154
"spot_64",6941.7,615.46625
"spot_65",7355.246,630.08
"spot_66",6005.345,1022.755
"spot_67",6453.67,1068.192
"spot_68",6733.24,1096.85
"spot_69",7334.02,965.03
