,Olig,astrocytes,eNeuron,endo_mural,iNeuron,microglia
spot_1,1.3229823e-05,0.16369253,0.00014108045,0.64895624,5.1449842e-05,0.18714549
spot_2,9.630196e-06,0.18779743,0.026156245,0.28701136,0.16223532,0.33679003
spot_3,4.837784e-06,0.12467597,0.21385838,0.3103573,0.047806706,0.3032968
spot_4,2.9457026e-06,0.14203003,0.20798638,0.31516242,0.04872331,0.28609493
spot_5,3.3318004e-06,0.27159065,0.1804391,0.2690934,0.073907554,0.20496605
spot_6,2.8554084e-06,0.13583854,3.2619377e-05,0.35960913,0.27508143,0.22943543
spot_7,4.2664105e-06,0.3631185,0.16668613,0.15877411,7.4442883e-06,0.31140956
spot_8,2.7441044e-06,0.107596025,0.17270641,0.21114947,0.25042734,0.25811803
spot_9,0.042673633,0.15616566,0.20066446,0.18920588,0.19633788,0.21495248
spot_10,0.004051914,0.14451902,0.36740053,0.17901224,0.060385827,0.24463047
spot_11,0.01690952,0.12322242,0.30445504,0.24074186,0.050225206,0.26444593
spot_12,5.8439537e-06,0.054071184,2.4109475e-05,0.2981226,0.36627927,0.2814969
spot_13,0.2805202,0.2191944,3.1436215e-05,0.19023764,0.07974799,0.2302683
spot_14,8.350978e-06,0.3264845,1.0560555e-06,0.33773473,0.045276836,0.2904945
spot_15,0.00014248236,0.18583864,0.040991116,0.3460253,0.11488243,0.31212002
spot_16,1.38402465e-05,0.15481423,0.08737924,0.29338208,0.1266487,0.33776194
spot_17,2.9837522e-06,0.27763066,0.0837185,0.30660298,7.932475e-06,0.33203697
spot_18,1.8741128e-05,0.13124274,0.2706479,0.30093026,0.047702607,0.2494577
spot_19,4.3807326e-05,0.15341116,0.26686478,0.2568038,0.07001,0.2528664
spot_20,2.470193e-05,0.1516247,0.28372222,0.2262798,0.069783,0.26856562
spot_21,4.663038e-06,0.12391524,0.213068,0.25260228,0.1780305,0.23237926
spot_22,6.2272316e-06,0.22330952,0.20130377,0.24558291,0.14887726,0.1809203
spot_23,0.008311007,0.19362257,0.2733987,0.19930899,0.11263746,0.21272132
spot_24,0.25903645,0.086958,0.18388027,0.22807145,6.7732694e-06,0.242047
spot_25,0.027446656,0.14948225,0.16305584,0.34578916,0.12704688,0.1871792
spot_26,0.10588197,0.19190958,0.109615184,0.23030625,0.14771062,0.21457633
spot_27,0.037900016,0.14326496,0.09412725,0.27328062,0.26501796,0.18640924
spot_28,0.005059118,0.35835516,7.7541654e-07,0.3287161,1.2546838e-06,0.30786765
spot_29,0.0059841014,0.1062029,0.07286784,0.36748958,0.08792126,0.35953432
spot_30,1.7376311e-05,0.16866305,0.07969484,0.256802,0.22704194,0.26778084
spot_31,0.028338991,0.17996816,0.22951621,0.24895118,0.057979047,0.25524643
spot_32,8.0347845e-06,0.25057477,0.24363601,0.28496957,0.018395634,0.20241596
spot_33,5.9149675e-06,0.22217587,0.3098122,0.24619573,8.219299e-05,0.22172813
spot_34,0.015683535,0.18220975,0.2241831,0.113788046,0.26981065,0.1943249
spot_35,0.09930564,0.19924098,0.11178187,0.24363814,0.13997951,0.20605381
spot_36,3.5099256e-06,0.21681859,0.22609757,0.19188735,0.1918002,0.1733928
spot_37,5.8448964e-05,0.14431086,0.28820974,0.21899971,0.13209736,0.21632396
spot_38,0.19672574,0.18989749,0.21616513,0.23192805,7.838195e-05,0.16520528
spot_39,6.607566e-06,0.11551543,0.28858536,0.1994572,0.17984398,0.21659142
spot_40,0.13608988,0.25944164,0.22937827,0.17964432,5.05674e-06,0.19544081
spot_41,1.519127e-05,0.20188734,0.28551883,0.24976432,1.90842e-05,0.26279527
spot_42,6.080612e-06,0.32452112,1.846374e-06,0.23062742,0.15374689,0.2910967
spot_43,0.0048846053,0.18040526,0.13496049,0.22476871,0.21970752,0.23527345
spot_44,1.5187401e-05,0.12365384,0.2695912,0.29853633,6.1749693e-06,0.30819726
spot_45,0.026039548,0.11615678,0.29378378,0.20983405,0.11826187,0.23592392
spot_46,9.293451e-06,0.1903464,0.23645948,0.2673545,0.118389726,0.18744053
spot_47,1.7230312e-06,0.24372396,0.27237573,0.19485946,0.03306345,0.2559757
spot_48,3.019508e-06,0.09788161,0.28261483,0.16730928,0.2898381,0.16235317
spot_49,0.043650076,0.17007133,0.24293965,0.12390253,0.23693228,0.18250416
spot_50,6.9912758e-06,0.1262261,0.27363938,0.17915136,0.26655337,0.1544228
spot_51,8.950534e-06,0.18080884,0.255606,0.12571864,0.2739762,0.16388138
spot_52,3.2918936e-06,0.15390971,0.23789942,0.16190737,0.25329763,0.1929826
spot_53,4.190589e-06,0.25383183,0.3284696,0.14578746,1.9714182e-05,0.2718873
spot_54,0.024903806,0.26606295,0.18278593,0.28650862,0.00022477438,0.23951393
spot_55,0.046213813,0.14267914,0.17708866,0.2763993,0.113350175,0.24426888
spot_56,0.052269872,0.17987299,0.00900671,0.4009439,0.052870024,0.3050365
spot_57,0.06963386,0.04005778,0.24550803,0.24589583,0.14240795,0.2564966
spot_58,7.1730133e-06,0.18717651,0.057839803,0.26055163,0.28554022,0.20888467
spot_59,6.6684247e-06,0.25873935,0.2187293,0.3036131,7.1419486e-06,0.21890442
spot_60,0.025261428,0.22236478,0.16563772,0.26571375,0.04913691,0.27188542
spot_61,0.26836,0.25372058,1.5828568e-06,0.23980017,2.4475596e-06,0.23811527
spot_62,0.049590193,0.11340425,0.36001918,0.24433334,0.038385894,0.19426718
spot_63,0.21568662,0.105585605,0.15573974,0.2388384,1.0639918e-05,0.28413892
spot_64,0.24551551,0.13594937,0.07812914,0.2862194,0.020694857,0.23349169
spot_65,0.29268393,0.25563887,5.6336303e-06,0.19858924,0.00010550986,0.25297683
spot_66,0.012302572,0.20041381,0.2539402,0.22048569,0.12079995,0.19205779
spot_67,3.5798719e-06,0.18865049,0.16326499,0.17540725,0.26142913,0.21124451
spot_68,0.012992136,0.28760475,0.2170397,0.18213987,0.08376102,0.21646255
spot_69,0.27570358,0.26812434,5.422198e-05,0.23448353,0.018272016,0.20336246
